X;Result
-5.5000000000;62.1221999157
-5.4000000000;37.4720561386
-5.3000000000;28.6239737318
-5.2000000000;27.9095816964
-5.1000000000;35.5090638311
-5.0000000000;62.4908702450
-4.9000000000;178.8415606086
-4.8000000000;1490.5449515099
-4.7000000000;-92372.7459995889
-4.6000000000;-704.2133690380
-4.5000000000;-131.9330907460
-4.4000000000;-54.6621569153
-4.3000000000;-34.9567704621
-4.2000000000;-30.0669636585
-4.1000000000;-32.9139245671
-4.0000000000;-44.9977768810
-3.9000000000;-77.0678815146
-3.8000000000;-168.9633422193
-3.7000000000;-501.1538587623
-3.6000000000;-2137.4737609564
-3.5000000000;-15183.8630804254
-3.4000000000;-239368.5742807971
-3.3000000000;-17394415.6123366600
-3.2000000000;-134795851601.8332800000
-3.1000000000;2927355491786.3540000000
-3.0000000000;47158907.6915250300
-2.9000000000;427819.9550795080
-2.8000000000;22555.1722243841
-2.7000000000;2843.7974192116
-2.6000000000;615.7013636234
-2.5000000000;195.5225276276
-2.4000000000;83.4570542141
-2.3000000000;46.2088607249
-2.2000000000;32.2791181870
-2.1000000000;28.3686425693
-2.0000000000;31.8680463996
-1.9000000000;47.8678614544
-1.8000000000;107.4826909726
-1.7000000000;477.1476458903
-1.6000000000;23523.5553074104
-1.5000000000;-2722.8395720700
-1.4000000000;-232.3723187363
-1.3000000000;-74.2476490712
-1.2000000000;-41.1057445770
-1.1000000000;-31.9243669059
-1.0000000000;-31.9131392183
-0.9000000000;-39.7255429793
-0.8000000000;-61.4010287797
-0.7000000000;-120.1014411048
-0.6000000000;-308.8313843320
-0.5000000000;-1110.9203749932
-0.4000000000;-6221.6996723874
-0.3000000000;-66770.6677894482
-0.2000000000;-2203498.1299495385
-0.1000000000;-1030493335.3189605000
-0.0000000000;NaN
0.1000000000;211542811.5439574000
0.2000000000;136292.5264846078
0.3000000000;310.8898252078
0.4000000000;0.8183546241
0.5000000000;0.0020180154
0.6000000000;0.0000023504
0.7000000000;0.0000000006
0.8000000000;0.0000000000
0.9000000000;0.0000000000
1.0000000000;NaN
1.1000000000;0.0000000000
1.2000000000;0.0000000000
1.3000000000;0.0000000000
1.4000000000;0.0000000024
1.5000000000;0.0000002790
1.6000000000;0.0000123848
1.7000000000;0.0005279666
1.8000000000;0.0088825195
1.9000000000;0.1059605799
2.0000000000;0.9686591938
2.1000000000;7.1717310808
2.2000000000;44.7942332935
2.3000000000;243.4737772760
2.4000000000;1179.9427118771
2.5000000000;5198.7749664718
2.6000000000;21159.5710715286
2.7000000000;80630.6356092767
2.8000000000;290995.2801465247
2.9000000000;1517935.2052633080
3.0000000000;5401657.4983036270
3.0000000000;5401657.4983036870
